easting,northing,depth
567729.02,4144762.48,-95.14
567572.2,4144611.17,-857.83
567232.43,4144283.34,-1783.96
567023.33,4144081.6,-2419.54
566866.51,4143930.29,-3291.19
566775.03,4143842.03,-4162.84
566526.74,4143602.46,-4871.06
566186.96,4143274.63,-5216.09
567389.25,4144434.65,-3509.1
567428.45,4144472.47,-3472.78
566735.83,4143804.21,-4144.68
566722.76,4143791.6,-4181
567740.06,4138434.63,-7587.13
,,
575265.6,4140657.09,234.99
574746.19,4140146.16,-913.93
573887.18,4139301.15,-1894.72
573068.13,4138495.44,-2931.55
572608.66,4138043.46,-3520.02
571989.37,4137434.27,-4416.73
571469.97,4136923.33,-5173.34
570750.8,4136215.88,-6182.15
570171.47,4135645.99,-7611.29
567740.06,4138434.63,-7639.31
576184.54,4141561.06,122.9
575465.37,4140853.61,-1278.22
574746.19,4140146.16,-1950.76
574106.93,4139517.31,-3043.64
573447.69,4138868.82,-4472.78
572988.22,4138416.84,-5425.54
572189.14,4137630.78,-7555.25
567740.06,4138434.63,-8059.65
