X,Y,Z
571181.131765647,4142983.61625981,-500
571008.031381494,4142764.35577322,-943.31
570754.150818069,4142464.31510735,-1232.58
570557.970382695,4142164.27444148,-1463.38
570327.16987049,4141841.1537244,-1655.59
569888.648897301,4141356.47264877,-1820.42
570119.449409506,4141610.35321219,-1964.81
569692.468461927,4141033.35193168,-2093.33
569438.587898502,4140791.01139387,-2209.17
569253.947488739,4140467.89067678,-2314.65
569000.066925314,4140144.76995969,-2411.5
568665.406182617,4139798.56919139,-2501.05
568457.685721633,4139475.4484743,-2584.33
568203.805158208,4139175.40780843,-2662.18
568042.244799664,4138944.60729623,-2735.27
567880.684441121,4138690.7267328,-2804.16
567707.584056968,4138483.00627182,-2950
575304.205613796,4140648.40220709,-555.43
574958.524834363,4140302.72142765,-943
574627.873654035,4140017.15904464,-1232.58
574252.13367639,4139656.4486661,-1463.38
573891.423297851,4139295.73828756,-1655.59
573696.038509476,4139085.32390008,-1820.42
573365.387329148,4138724.61352154,-1964.81
572989.647351504,4138378.93274211,-2039
572583.848175647,4137973.13356625,-2209
572328.344990849,4137777.74877788,-2314
571952.605013204,4137402.00880023,-2411
571636.983431982,4137071.35761991,-2501
571396.509846289,4136815.85443511,-2584
571065.858665962,4136470.17365568,-2662
570750.23708474,4136154.55207445,-2735.27
570479.704300836,4135884.01929055,-2804
570224.201116037,4135598.45690754,-2945
567909.642853745,4144894.26395447,-1249.56
567548.932475206,4144608.70157146,-1935.34
567218.281294878,4144293.07999024,-2311.7
566977.807709186,4144022.54720634,-2518.25
566707.274925281,4143782.07362064,-2631.61
566526.919736012,4143601.71843138,-2693.82
566361.594145848,4143451.42244032,-2727.96
577373.723009325,4138757.14262661,0
577159.456626057,4139063.23745985,0
576822.752309494,4139384.63703475,0
576577.876442902,4139660.12238466,0
576241.172126339,4139889.69350959,0
575965.686776423,4140195.78834283,0
575736.115651494,4140348.83575945,0
575635.528594205,4140271.46789349,0
572582.457584650,4142695.54667994,0
570158.452143545,4143503.26510649,0
567644.468953688,4145164.98353304,0
576241.172126339,4139889.69350959,0
575965.686776423,4140195.78834283,0
574848.440635099,4141144.68232587,0
573960.765618705,4142139.4905339,0
572208.372698409,4142690.46123373,0
571519.65932362,4142751.68020038,0
570892.164915479,4142904.727617,0
570402.413182296,4143210.82245024,0
572055.325281789,4142950.64184199,0
571259.478715366,4142981.25132531,0
570172.842057366,4143333.26038354,0
569438.214457592,4143838.31685838,0
568734.196341141,4144343.37333323,0
568152.616157986,4144787.21084142,0
567395.031445718,4145430.00999123,0
567272.593512423,4145598.36214951,0   
567287.898254085,4145567.75266618,0
574048.480354767,4141354.22577072,0
574167.583049326,4141308.41704204,0
574305.009235357,4141262.60831337,0
574428.692802784,4141216.79958469,0
574543.214624476,4141134.34387307,0
573769.047109838,4141528.29893969,0
