dip_direction,dip,rake,magnitude,easting,northing,depth_m
145,55,20.0,2.49,623624.4196441728,4082273.8146488597,-6190.0
140,50,0.0,3.3,612190.9853527093,4136339.0632009874,-5680.0
150,50,20.0,2.46,603149.0643969636,4142972.877282137,-1550.0
180,55,110.0,2.72,602881.5716549585,4143136.0194771485,-1200.0
305,65,-20.0,2.72,602881.5716549585,4143136.0194771485,-1200.0
145,30,-20.0,1.88,610103.9312000235,4141249.3303769045,-8029.999999999999
70,45,-160.0,1.88,610103.9312000235,4141249.3303769045,-8029.999999999999
320,85,30.0,2.33,612683.009092746,4135975.790380939,-7070.0
220,60,100.0,2.11,627799.7824434466,4111723.6539666206,-2760.0
60,85,-130.0,2.11,627799.7824434466,4111723.6539666206,-2760.0
35,65,-170.0,3.17,610337.3709039373,4134742.3646302945,-1020.0
150,55,10.0,2.68,620727.4485874751,4123751.886236645,-5100.0
235,75,170.0,2.79,627530.4565379218,4113865.0138152097,-2000.0
90,50,-100.0,2.79,627530.4565379218,4113865.0138152097,-2000.0
280,75,-60.0,1.86,622522.808849748,4093742.652909929,-6280.0
125,75,10.0,2.12,621048.6913262008,4094109.8452326935,-4630.0
215,30,160.0,2.88,624631.602425685,4080457.6055145185,-7670.0
220,60,150.0,2.71,624702.6386281513,4080680.573605929,-7530.0
205,65,150.0,1.81,625045.7078807149,4080593.136848493,-6750.0
325,75,50.0,1.33,624818.5118211121,4080885.70597928,-7120.0
215,80,130.0,2.72,624960.9078480013,4080295.9875638434,-7650.0
325,80,-30.0,2.64,625095.9855717907,4080205.501527356,-7090.0
320,85,60.0,1.79,627671.0502951858,4077950.4515216933,-6980.0
345,70,40.0,2.0,614840.4296263582,4096797.4736603377,-10730.0
70,85,-130.0,1.68,627997.4530389052,4115277.7410079283,-7770.0
145,85,-60.0,1.47,599936.7231129489,4156230.958956728,-6350.0
220,40,160.0,1.18,617953.5937122001,4127559.343637768,-1730.0
70,75,-110.0,1.56,628262.0857936778,4113450.7361303857,-3210.0
190,70,30.0,1.38,627961.2087915168,4111818.5799728935,-3730.0
245,55,130.0,1.38,627961.2087915168,4111818.5799728935,-3730.0
355,85,0.0,1.39,630759.1353968097,4109938.015070115,-6760.0
230,40,170.0,2.02,617462.1485070774,4128884.064493997,-4270.0
90,90,130.0,1.68,591682.2669178123,4159668.014460428,-8180.0
135,75,30.0,2.29,612777.186095162,4100265.0101739527,-11870.0
40,90,-160.0,2.29,612777.186095162,4100265.0101739527,-11870.0
85,60,-110.0,1.62,617263.1021062459,4128326.433896856,-1320.0
140,80,50.0,1.88,612584.738150276,4136695.755183599,-7650.0
200,45,40.0,1.68,617070.3130816183,4158840.77131056,-6030.0
140,85,60.0,1.95,584210.8278336521,4167818.348798028,-6860.0
250,60,140.0,1.71,607327.4919585556,4148352.0050218063,-6720.0
235,60,170.0,1.55,612927.1366070843,4100137.556258369,-12040.0
195,40,80.0,1.55,612927.1366070843,4100137.556258369,-12040.0
180,75,30.0,2.34,617291.4480787301,4156735.39502494,-3500.0
80,85,-120.0,2.34,617291.4480787301,4156735.39502494,-3500.0
135,90,-60.0,1.61,619217.8387071721,4126985.3937706156,-7810.0
145,85,50.0,1.9,619261.113088453,4127059.9887360292,-7890.0
150,65,20.0,1.41,619261.9022393157,4127004.5153531656,-7670.0
145,85,20.0,2.64,619352.1346599761,4126894.8302058335,-8400.0
190,80,-100.0,1.28,619536.1751040226,4095105.5413031173,-7290.0
205,45,-170.0,3.08,625893.9737342361,4091535.738417937,-2720.0
285,85,60.0,1.69,625833.2497200103,4091627.3092631693,-2040.0
130,45,20.0,1.77,633507.9596315424,4087749.721650127,-3430.0
175,75,10.0,1.95,622246.448155391,4135148.4223876335,-6720.0
150,90,-30.0,1.89,631542.6148601804,4141134.336976584,-7220.0
75,60,-140.0,1.89,631542.6148601804,4141134.336976584,-7220.0
190,15,-150.0,2.21,564093.8670694154,4139622.6306580952,-7960.0
70,85,-150.0,1.57,629652.6966322697,4112547.2630887567,-7990.0
325,75,-10.0,1.61,612123.0189317971,4137003.9553619465,-5590.0
65,65,-150.0,2.58,612063.9887314572,4137003.163505803,-5560.0
135,85,-50.0,2.4,612124.0113829616,4136929.9903980577,-5540.0
155,90,50.0,1.55,612080.7303841949,4136855.4315184783,-5460.0
230,85,120.0,1.55,612080.7303841949,4136855.4315184783,-5460.0
140,45,20.0,1.44,625601.0455105458,4091272.4741089344,-3210.0
220,80,120.0,2.27,625659.8517602916,4091310.3338610637,-2790.0
150,75,10.0,1.96,630460.6477582497,4111043.113547426,-7670.0
210,55,160.0,1.91,627185.5305356967,4078608.9777915594,-5780.0
150,90,-10.0,1.67,612908.3674153934,4134591.737542479,-1660.0
230,60,120.0,1.67,612908.3674153934,4134591.737542479,-1660.0
215,50,-180.0,1.46,618235.5503682103,4088374.058615021,-9270.0
205,55,80.0,1.95,620288.3051829843,4122413.951996938,-6470.0
135,90,-20.0,1.97,623899.3341468405,4081759.9836593317,-6330.0
220,40,170.0,1.52,623926.8897465923,4081908.336519001,-7120.0
145,40,10.0,2.17,623764.5626114111,4081831.9979051272,-7220.0
330,80,10.0,6.2,617076.5633508974,4130043.8372606165,-8189.999999999999
155,75,30.0,3.85,618517.6378361701,4127382.351768052,-5830.0
325,80,-30.0,2.61,618914.1965150482,4127554.4216368888,-8920.0
150,75,40.0,3.4,618383.881236623,4127435.946114948,-5490.0
150,75,30.0,3.3,619786.7057975137,4126475.645191966,-8370.0
225,85,150.0,3.1,620179.166131506,4124872.203958969,-5980.0
250,50,140.0,2.0,618825.5125060788,4122337.638497234,-3710.0
155,60,-10.0,2.55,619124.7185842172,4127298.4827302103,-8490.0
180,60,10.0,1.69,623951.2820266499,4120691.6981733697,-8640.0
85,90,-160.0,1.69,623951.2820266499,4120691.6981733697,-8640.0
110,60,-70.0,1.79,626410.7508456571,4117454.684970837,-7860.0
75,90,-110.0,1.79,626410.7508456571,4117454.684970837,-7860.0
150,60,10.0,2.65,620710.0075968237,4123936.5843640584,-4420.0
55,85,-130.0,2.65,620710.0075968237,4123936.5843640584,-4420.0
205,45,70.0,2.21,619325.1235243694,4124638.075500308,-7260.0
255,85,140.0,2.11,626706.3249291377,4117477.628273923,-8600.0
235,70,170.0,2.75,619181.6600592681,4126411.538931231,-5740.0
155,60,20.0,1.46,619852.4185518767,4126014.21178159,-8020.0
250,85,150.0,3.5,624542.7679790163,4119701.709140678,-9310.0
145,70,0.0,2.91,620093.6666041298,4124649.041116772,-4110.0
210,45,150.0,3.14,620199.5085056195,4124484.1028949935,-3850.0
360,85,-60.0,2.68,620465.2826496847,4124506.409408527,-5060.0
225,75,90.0,2.68,620465.2826496847,4124506.409408527,-5060.0
145,20,-20.0,2.04,619582.4725194188,4126287.7812654153,-7280.0
215,40,160.0,2.29,614320.0949468691,4133926.614147754,-6720.0
150,80,30.0,1.32,619998.8682525761,4126108.7805654565,-8000.0
325,80,-30.0,1.59,617487.2843995274,4129198.8281628625,-7870.0
55,90,110.0,1.59,617487.2843995274,4129198.8281628625,-7870.0
320,85,-50.0,3.1,616448.765057364,4130571.4319981146,-6250.0
195,70,110.0,1.7,619256.3316907575,4126357.1160479127,-4970.0
235,35,140.0,1.84,621331.7969135621,4122854.349700584,-3810.0
75,40,-130.0,2.42,614338.901966218,4133630.9567046575,-6550.0
130,55,-20.0,2.42,614338.901966218,4133630.9567046575,-6550.0
200,20,110.0,1.88,614248.3000126746,4133777.676016692,-7280.0
150,80,0.0,1.75,616374.1486899154,4130625.8788827136,-6840.0
160,30,0.0,2.24,621529.5955288623,4122468.8171435646,-4280.0
200,45,90.0,1.55,622449.819673952,4112069.5826620497,-1220.0
70,65,-120.0,1.55,622449.819673952,4112069.5826620497,-1220.0
335,60,10.0,2.61,624213.0457259883,4119992.7505133194,-8580.0
210,65,140.0,2.19,617491.4334098164,4128902.969883284,-5370.0
330,85,30.0,1.59,620692.3012023226,4124139.773641757,-5460.0
150,75,30.0,1.59,619471.9211801882,4126785.567041712,-8630.0
50,90,-120.0,2.6,620906.1560167647,4123661.9843145274,-4750.0
65,70,-150.0,3.1,618059.6192779507,4127375.888516328,-3170.0
75,80,-130.0,1.99,618010.8691428442,4127689.613291712,-3290.0
335,85,-20.0,1.8,616524.411612319,4130443.0211204085,-7930.0
320,80,-20.0,2.77,619728.9201388457,4126382.3454174637,-8060.000000000001
215,35,90.0,1.82,626967.7925134581,4112894.762620655,-3520.0
70,90,-150.0,1.75,628664.2220258861,4113290.4131742353,-4720.0
55,55,170.0,1.96,620892.7063020363,4123569.3160221693,-4820.0
255,85,140.0,1.9,622428.994660082,4126698.760162474,-1720.0
50,70,-170.0,1.66,618970.3282379856,4126722.949989906,-5220.0
145,30,0.0,1.78,624133.5590586386,4118364.0104404357,-2750.0
230,45,-170.0,1.78,624133.5590586386,4118364.0104404357,-2750.0
195,75,60.0,1.61,627969.1815703767,4113242.832279998,-4130.0
155,85,30.0,1.79,630179.9413087636,4111001.7820577393,-6130.0
235,85,130.0,1.79,630179.9413087636,4111001.7820577393,-6130.0
145,90,40.0,2.06,619433.9147067897,4126341.1486520288,-5530.0
55,90,-120.0,1.54,625528.8189701075,4116072.83614166,-3090.0
95,70,-140.0,1.83,617878.4308695093,4134993.226912768,-1670.0
330,85,30.0,1.66,619541.5688687415,4126046.7647696473,-5640.0
145,90,30.0,1.63,619790.6680900335,4126198.2783801123,-7200.0
145,90,40.0,1.72,618530.0593414952,4127548.98078293,-5240.0
170,25,40.0,2.37,616605.4667875792,4129926.29670755,-4740.0
235,55,170.0,2.37,616605.4667875792,4129926.29670755,-4740.0
60,85,-180.0,2.02,614937.2432870439,4130920.4410318104,260.0
235,75,-170.0,2.88,620061.9902980792,4124796.5467277104,-4940.0
80,75,-120.0,2.37,621051.8368856519,4123812.0436780453,-5890.0
145,50,-30.0,2.37,621051.8368856519,4123812.0436780453,-5890.0
