X,Y,Z,
571181.131765647,4142983.61625981,-500,
571008.031381494,4142764.35577322,-943.31,
570754.150818069,4142464.31510735,-1232.58,
570557.970382695,4142164.27444148,-1463.38,
570327.16987049,4141841.1537244,-1655.59,
569888.648897301,4141356.47264877,-1820.42,
570119.449409506,4141610.35321219,-1964.81,
569692.468461927,4141033.35193168,-2093.33,
569438.587898502,4140791.01139387,-2209.17,
569253.947488739,4140467.89067678,-2314.65,
569000.066925314,4140144.76995969,-2411.5,
568665.406182617,4139798.56919139,-2501.05,
568457.685721633,4139475.4484743,-2584.33,
568203.805158208,4139175.40780843,-2662.18,
568042.244799664,4138944.60729623,-2735.27,
567880.684441121,4138690.7267328,-2804.16,
567707.584056968,4138483.00627182,-2950,
575304.205613796,4140648.40220709,-555.43,
574958.524834363,4140302.72142765,-943,
574627.873654035,4140017.15904464,-1232.58,
574252.13367639,4139656.4486661,-1463.38,
573891.423297851,4139295.73828756,-1655.59,
573696.038509476,4139085.32390008,-1820.42,
573365.387329148,4138724.61352154,-1964.81,
572989.647351504,4138378.93274211,-2039,
572583.848175647,4137973.13356625,-2209,
572328.344990849,4137777.74877788,-2314,
571952.605013204,4137402.00880023,-2411,
571636.983431982,4137071.35761991,-2501,
571396.509846289,4136815.85443511,-2584,
571065.858665962,4136470.17365568,-2662,
570750.23708474,4136154.55207445,-2735.27,
570479.704300836,4135884.01929055,-2804,
570224.201116037,4135598.45690754,-2945,
567909.642853745,4144894.26395447,-1249.56,
567548.932475206,4144608.70157146,-1935.34,
567218.281294878,4144293.07999024,-2311.7,
566977.807709186,4144022.54720634,-2518.25,
566707.274925281,4143782.07362064,-2631.61,
566526.919736012,4143601.71843138,-2693.82,
566361.594145848,4143451.42244032,-2727.96,
