"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0,0,1,5.6982e+05,4.1467e+06,-957.28
0,0,-1,5.6982e+05,4.1467e+06,-1157.3
0.43388,0,0.90097,5.6987e+05,4.1467e+06,-967.18
0.78183,0,0.62349,5.699e+05,4.1467e+06,-994.93
0.97493,0,0.22252,5.6992e+05,4.1467e+06,-1035
0.97493,0,-0.22252,5.6992e+05,4.1467e+06,-1079.5
0.78183,0,-0.62349,5.699e+05,4.1467e+06,-1119.6
0.43388,0,-0.90097,5.6987e+05,4.1467e+06,-1147.4
0.3068,0.3068,0.90097,5.6985e+05,4.1468e+06,-967.18
0.55284,0.55284,0.62349,5.6988e+05,4.1468e+06,-994.93
0.68938,0.68938,0.22252,5.6989e+05,4.1468e+06,-1035
0.68938,0.68938,-0.22252,5.6989e+05,4.1468e+06,-1079.5
0.55284,0.55284,-0.62349,5.6988e+05,4.1468e+06,-1119.6
0.3068,0.3068,-0.90097,5.6985e+05,4.1468e+06,-1147.4
2.6568e-17,0.43388,0.90097,5.6982e+05,4.1468e+06,-967.18
4.7873e-17,0.78183,0.62349,5.6982e+05,4.1468e+06,-994.93
5.9697e-17,0.97493,0.22252,5.6982e+05,4.1468e+06,-1035
5.9697e-17,0.97493,-0.22252,5.6982e+05,4.1468e+06,-1079.5
4.7873e-17,0.78183,-0.62349,5.6982e+05,4.1468e+06,-1119.6
2.6568e-17,0.43388,-0.90097,5.6982e+05,4.1468e+06,-1147.4
-0.3068,0.3068,0.90097,5.6979e+05,4.1468e+06,-967.18
-0.55284,0.55284,0.62349,5.6977e+05,4.1468e+06,-994.93
-0.68938,0.68938,0.22252,5.6975e+05,4.1468e+06,-1035
-0.68938,0.68938,-0.22252,5.6975e+05,4.1468e+06,-1079.5
-0.55284,0.55284,-0.62349,5.6977e+05,4.1468e+06,-1119.6
-0.3068,0.3068,-0.90097,5.6979e+05,4.1468e+06,-1147.4
-0.43388,5.3135e-17,0.90097,5.6978e+05,4.1467e+06,-967.18
-0.78183,9.5747e-17,0.62349,5.6974e+05,4.1467e+06,-994.93
-0.97493,1.1939e-16,0.22252,5.6972e+05,4.1467e+06,-1035
-0.97493,1.1939e-16,-0.22252,5.6972e+05,4.1467e+06,-1079.5
-0.78183,9.5747e-17,-0.62349,5.6974e+05,4.1467e+06,-1119.6
-0.43388,5.3135e-17,-0.90097,5.6978e+05,4.1467e+06,-1147.4
-0.3068,-0.3068,0.90097,5.6979e+05,4.1467e+06,-967.18
-0.55284,-0.55284,0.62349,5.6977e+05,4.1467e+06,-994.93
-0.68938,-0.68938,0.22252,5.6975e+05,4.1467e+06,-1035
-0.68938,-0.68938,-0.22252,5.6975e+05,4.1467e+06,-1079.5
-0.55284,-0.55284,-0.62349,5.6977e+05,4.1467e+06,-1119.6
-0.3068,-0.3068,-0.90097,5.6979e+05,4.1467e+06,-1147.4
-7.9703e-17,-0.43388,0.90097,5.6982e+05,4.1467e+06,-967.18
-1.4362e-16,-0.78183,0.62349,5.6982e+05,4.1467e+06,-994.93
-1.7909e-16,-0.97493,0.22252,5.6982e+05,4.1466e+06,-1035
-1.7909e-16,-0.97493,-0.22252,5.6982e+05,4.1466e+06,-1079.5
-1.4362e-16,-0.78183,-0.62349,5.6982e+05,4.1467e+06,-1119.6
-7.9703e-17,-0.43388,-0.90097,5.6982e+05,4.1467e+06,-1147.4
0.3068,-0.3068,0.90097,5.6985e+05,4.1467e+06,-967.18
0.55284,-0.55284,0.62349,5.6988e+05,4.1467e+06,-994.93
0.68938,-0.68938,0.22252,5.6989e+05,4.1467e+06,-1035
0.68938,-0.68938,-0.22252,5.6989e+05,4.1467e+06,-1079.5
0.55284,-0.55284,-0.62349,5.6988e+05,4.1467e+06,-1119.6
0.3068,-0.3068,-0.90097,5.6985e+05,4.1467e+06,-1147.4
0,0,1,5.6922e+05,4.1462e+06,-1575.8
0,0,-1,5.6922e+05,4.1462e+06,-1775.8
0.43388,0,0.90097,5.6926e+05,4.1462e+06,-1585.7
0.78183,0,0.62349,5.693e+05,4.1462e+06,-1613.4
0.97493,0,0.22252,5.6932e+05,4.1462e+06,-1653.5
0.97493,0,-0.22252,5.6932e+05,4.1462e+06,-1698
0.78183,0,-0.62349,5.693e+05,4.1462e+06,-1738.1
0.43388,0,-0.90097,5.6926e+05,4.1462e+06,-1765.8
0.3068,0.3068,0.90097,5.6925e+05,4.1462e+06,-1585.7
0.55284,0.55284,0.62349,5.6927e+05,4.1462e+06,-1613.4
0.68938,0.68938,0.22252,5.6929e+05,4.1462e+06,-1653.5
0.68938,0.68938,-0.22252,5.6929e+05,4.1462e+06,-1698
0.55284,0.55284,-0.62349,5.6927e+05,4.1462e+06,-1738.1
0.3068,0.3068,-0.90097,5.6925e+05,4.1462e+06,-1765.8
2.6568e-17,0.43388,0.90097,5.6922e+05,4.1462e+06,-1585.7
4.7873e-17,0.78183,0.62349,5.6922e+05,4.1462e+06,-1613.4
5.9697e-17,0.97493,0.22252,5.6922e+05,4.1463e+06,-1653.5
5.9697e-17,0.97493,-0.22252,5.6922e+05,4.1463e+06,-1698
4.7873e-17,0.78183,-0.62349,5.6922e+05,4.1462e+06,-1738.1
2.6568e-17,0.43388,-0.90097,5.6922e+05,4.1462e+06,-1765.8
-0.3068,0.3068,0.90097,5.6919e+05,4.1462e+06,-1585.7
-0.55284,0.55284,0.62349,5.6916e+05,4.1462e+06,-1613.4
-0.68938,0.68938,0.22252,5.6915e+05,4.1462e+06,-1653.5
-0.68938,0.68938,-0.22252,5.6915e+05,4.1462e+06,-1698
-0.55284,0.55284,-0.62349,5.6916e+05,4.1462e+06,-1738.1
-0.3068,0.3068,-0.90097,5.6919e+05,4.1462e+06,-1765.8
-0.43388,5.3135e-17,0.90097,5.6917e+05,4.1462e+06,-1585.7
-0.78183,9.5747e-17,0.62349,5.6914e+05,4.1462e+06,-1613.4
-0.97493,1.1939e-16,0.22252,5.6912e+05,4.1462e+06,-1653.5
-0.97493,1.1939e-16,-0.22252,5.6912e+05,4.1462e+06,-1698
-0.78183,9.5747e-17,-0.62349,5.6914e+05,4.1462e+06,-1738.1
-0.43388,5.3135e-17,-0.90097,5.6917e+05,4.1462e+06,-1765.8
-0.3068,-0.3068,0.90097,5.6919e+05,4.1461e+06,-1585.7
-0.55284,-0.55284,0.62349,5.6916e+05,4.1461e+06,-1613.4
-0.68938,-0.68938,0.22252,5.6915e+05,4.1461e+06,-1653.5
-0.68938,-0.68938,-0.22252,5.6915e+05,4.1461e+06,-1698
-0.55284,-0.55284,-0.62349,5.6916e+05,4.1461e+06,-1738.1
-0.3068,-0.3068,-0.90097,5.6919e+05,4.1461e+06,-1765.8
-7.9703e-17,-0.43388,0.90097,5.6922e+05,4.1461e+06,-1585.7
-1.4362e-16,-0.78183,0.62349,5.6922e+05,4.1461e+06,-1613.4
-1.7909e-16,-0.97493,0.22252,5.6922e+05,4.1461e+06,-1653.5
-1.7909e-16,-0.97493,-0.22252,5.6922e+05,4.1461e+06,-1698
-1.4362e-16,-0.78183,-0.62349,5.6922e+05,4.1461e+06,-1738.1
-7.9703e-17,-0.43388,-0.90097,5.6922e+05,4.1461e+06,-1765.8
0.3068,-0.3068,0.90097,5.6925e+05,4.1461e+06,-1585.7
0.55284,-0.55284,0.62349,5.6927e+05,4.1461e+06,-1613.4
0.68938,-0.68938,0.22252,5.6929e+05,4.1461e+06,-1653.5
0.68938,-0.68938,-0.22252,5.6929e+05,4.1461e+06,-1698
0.55284,-0.55284,-0.62349,5.6927e+05,4.1461e+06,-1738.1
0.3068,-0.3068,-0.90097,5.6925e+05,4.1461e+06,-1765.8
0,0,1,5.6867e+05,4.1456e+06,-2014.6
0,0,-1,5.6867e+05,4.1456e+06,-2214.6
0.43388,0,0.90097,5.6871e+05,4.1456e+06,-2024.5
0.78183,0,0.62349,5.6874e+05,4.1456e+06,-2052.2
0.97493,0,0.22252,5.6876e+05,4.1456e+06,-2092.3
0.97493,0,-0.22252,5.6876e+05,4.1456e+06,-2136.8
0.78183,0,-0.62349,5.6874e+05,4.1456e+06,-2176.9
0.43388,0,-0.90097,5.6871e+05,4.1456e+06,-2204.7
0.3068,0.3068,0.90097,5.687e+05,4.1457e+06,-2024.5
0.55284,0.55284,0.62349,5.6872e+05,4.1457e+06,-2052.2
0.68938,0.68938,0.22252,5.6873e+05,4.1457e+06,-2092.3
0.68938,0.68938,-0.22252,5.6873e+05,4.1457e+06,-2136.8
0.55284,0.55284,-0.62349,5.6872e+05,4.1457e+06,-2176.9
0.3068,0.3068,-0.90097,5.687e+05,4.1457e+06,-2204.7
2.6568e-17,0.43388,0.90097,5.6867e+05,4.1457e+06,-2024.5
4.7873e-17,0.78183,0.62349,5.6867e+05,4.1457e+06,-2052.2
5.9697e-17,0.97493,0.22252,5.6867e+05,4.1457e+06,-2092.3
5.9697e-17,0.97493,-0.22252,5.6867e+05,4.1457e+06,-2136.8
4.7873e-17,0.78183,-0.62349,5.6867e+05,4.1457e+06,-2176.9
2.6568e-17,0.43388,-0.90097,5.6867e+05,4.1457e+06,-2204.7
-0.3068,0.3068,0.90097,5.6863e+05,4.1457e+06,-2024.5
-0.55284,0.55284,0.62349,5.6861e+05,4.1457e+06,-2052.2
-0.68938,0.68938,0.22252,5.686e+05,4.1457e+06,-2092.3
-0.68938,0.68938,-0.22252,5.686e+05,4.1457e+06,-2136.8
-0.55284,0.55284,-0.62349,5.6861e+05,4.1457e+06,-2176.9
-0.3068,0.3068,-0.90097,5.6863e+05,4.1457e+06,-2204.7
-0.43388,5.3135e-17,0.90097,5.6862e+05,4.1456e+06,-2024.5
-0.78183,9.5747e-17,0.62349,5.6859e+05,4.1456e+06,-2052.2
-0.97493,1.1939e-16,0.22252,5.6857e+05,4.1456e+06,-2092.3
-0.97493,1.1939e-16,-0.22252,5.6857e+05,4.1456e+06,-2136.8
-0.78183,9.5747e-17,-0.62349,5.6859e+05,4.1456e+06,-2176.9
-0.43388,5.3135e-17,-0.90097,5.6862e+05,4.1456e+06,-2204.7
-0.3068,-0.3068,0.90097,5.6863e+05,4.1456e+06,-2024.5
-0.55284,-0.55284,0.62349,5.6861e+05,4.1456e+06,-2052.2
-0.68938,-0.68938,0.22252,5.686e+05,4.1456e+06,-2092.3
-0.68938,-0.68938,-0.22252,5.686e+05,4.1456e+06,-2136.8
-0.55284,-0.55284,-0.62349,5.6861e+05,4.1456e+06,-2176.9
-0.3068,-0.3068,-0.90097,5.6863e+05,4.1456e+06,-2204.7
-7.9703e-17,-0.43388,0.90097,5.6867e+05,4.1456e+06,-2024.5
-1.4362e-16,-0.78183,0.62349,5.6867e+05,4.1456e+06,-2052.2
-1.7909e-16,-0.97493,0.22252,5.6867e+05,4.1455e+06,-2092.3
-1.7909e-16,-0.97493,-0.22252,5.6867e+05,4.1455e+06,-2136.8
-1.4362e-16,-0.78183,-0.62349,5.6867e+05,4.1456e+06,-2176.9
-7.9703e-17,-0.43388,-0.90097,5.6867e+05,4.1456e+06,-2204.7
0.3068,-0.3068,0.90097,5.687e+05,4.1456e+06,-2024.5
0.55284,-0.55284,0.62349,5.6872e+05,4.1456e+06,-2052.2
0.68938,-0.68938,0.22252,5.6873e+05,4.1456e+06,-2092.3
0.68938,-0.68938,-0.22252,5.6873e+05,4.1456e+06,-2136.8
0.55284,-0.55284,-0.62349,5.6872e+05,4.1456e+06,-2176.9
0.3068,-0.3068,-0.90097,5.687e+05,4.1456e+06,-2204.7
0,0,1,5.6835e+05,4.1454e+06,-2354.9
0,0,-1,5.6835e+05,4.1454e+06,-2554.9
0.43388,0,0.90097,5.6839e+05,4.1454e+06,-2364.8
0.78183,0,0.62349,5.6843e+05,4.1454e+06,-2392.6
0.97493,0,0.22252,5.6845e+05,4.1454e+06,-2432.7
0.97493,0,-0.22252,5.6845e+05,4.1454e+06,-2477.2
0.78183,0,-0.62349,5.6843e+05,4.1454e+06,-2517.3
0.43388,0,-0.90097,5.6839e+05,4.1454e+06,-2545
0.3068,0.3068,0.90097,5.6838e+05,4.1454e+06,-2364.8
0.55284,0.55284,0.62349,5.6841e+05,4.1454e+06,-2392.6
0.68938,0.68938,0.22252,5.6842e+05,4.1454e+06,-2432.7
0.68938,0.68938,-0.22252,5.6842e+05,4.1454e+06,-2477.2
0.55284,0.55284,-0.62349,5.6841e+05,4.1454e+06,-2517.3
0.3068,0.3068,-0.90097,5.6838e+05,4.1454e+06,-2545
2.6568e-17,0.43388,0.90097,5.6835e+05,4.1454e+06,-2364.8
4.7873e-17,0.78183,0.62349,5.6835e+05,4.1454e+06,-2392.6
5.9697e-17,0.97493,0.22252,5.6835e+05,4.1455e+06,-2432.7
5.9697e-17,0.97493,-0.22252,5.6835e+05,4.1455e+06,-2477.2
4.7873e-17,0.78183,-0.62349,5.6835e+05,4.1454e+06,-2517.3
2.6568e-17,0.43388,-0.90097,5.6835e+05,4.1454e+06,-2545
-0.3068,0.3068,0.90097,5.6832e+05,4.1454e+06,-2364.8
-0.55284,0.55284,0.62349,5.6829e+05,4.1454e+06,-2392.6
-0.68938,0.68938,0.22252,5.6828e+05,4.1454e+06,-2432.7
-0.68938,0.68938,-0.22252,5.6828e+05,4.1454e+06,-2477.2
-0.55284,0.55284,-0.62349,5.6829e+05,4.1454e+06,-2517.3
-0.3068,0.3068,-0.90097,5.6832e+05,4.1454e+06,-2545
-0.43388,5.3135e-17,0.90097,5.6831e+05,4.1454e+06,-2364.8
-0.78183,9.5747e-17,0.62349,5.6827e+05,4.1454e+06,-2392.6
-0.97493,1.1939e-16,0.22252,5.6825e+05,4.1454e+06,-2432.7
-0.97493,1.1939e-16,-0.22252,5.6825e+05,4.1454e+06,-2477.2
