X,Y,Z,
569822.287632257,4146747.25279722,-1057.3,
569217.674126349,4146168.92683505,-1675.75,
568665.635707911,4145643.17596034,-2114.57,
568350.185183089,4145354.01297926,-2454.94,
567903.296939592,4144933.4122795,-2733.04,
567430.121152359,4144512.81157973,-2968.17,
567009.520452597,4144013.34824877,-3171.85,
566588.919752835,4143697.89772394,-3351.51,
566089.456421867,4143093.28421804,-3512.22,
565668.855722105,4142646.39597454,-3657.6,
565327.117653548,4142330.94544972,-3710,
565090.529759931,4142041.78246863,-3756.24,
572503.617093242,4144644.24929841,-1501.34,
572109.303937215,4144092.21087997,-1894.48,
571741.278324923,4143671.61018021,-2199.42,
571373.252712631,4143224.72193671,-2448.58,
571005.227100339,4142751.54614948,-2659.24,
570637.201488047,4142409.80808092,-2841.72,
570321.750963225,4141884.05720622,-3002.68,
569927.437807198,4141358.30633152,-3146.66,
569585.699738641,4140937.70563175,-3276.91,
569165.099038879,4140385.66721332,-3395.82,
568849.648514057,4139938.77896982,-3505.2,
568455.33535803,4139439.31563885,-3698.45,
567903.296939592,4138808.41458921,-3643.67,
576157.585672427,4141384.59387525,-1522.62,
575920.99777881,4141148.00598164,-1921.33,
575631.834797724,4140753.69282561,-2230.6,
575000.93374808,4140254.22949464,-2483.29,
574554.045504583,4139807.34125114,-2696.93,
574054.582173615,4139386.74055138,-2882,
573555.118842648,4138939.85230788,-3045.24,
572950.505336739,4138335.23880197,-3191.27,
572503.617093242,4137783.20038354,-3323.36,
572083.01639348,4137283.73705257,-3443.95,
571793.853412393,4136968.28652775,-3554.89,
571320.67762516,4136363.67302184,-3657.6,
570847.501837928,4135785.34705967,-3752.73,
570453.188681901,4135443.60899111,-3840.83,
