"Normals:0","Normals:1","Normals:2"
0,0,1
0,0,-1
0.43388,0,0.90097
0.78183,0,0.62349
0.97493,0,0.22252
0.97493,0,-0.22252
0.78183,0,-0.62349
0.43388,0,-0.90097
0.3068,0.3068,0.90097
0.55284,0.55284,0.62349
0.68938,0.68938,0.22252
0.68938,0.68938,-0.22252
0.55284,0.55284,-0.62349
0.3068,0.3068,-0.90097
2.6568e-17,0.43388,0.90097
4.7873e-17,0.78183,0.62349
5.9697e-17,0.97493,0.22252
5.9697e-17,0.97493,-0.22252
4.7873e-17,0.78183,-0.62349
2.6568e-17,0.43388,-0.90097
-0.3068,0.3068,0.90097
-0.55284,0.55284,0.62349
-0.68938,0.68938,0.22252
-0.68938,0.68938,-0.22252
-0.55284,0.55284,-0.62349
-0.3068,0.3068,-0.90097
-0.43388,5.3135e-17,0.90097
-0.78183,9.5747e-17,0.62349
-0.97493,1.1939e-16,0.22252
-0.97493,1.1939e-16,-0.22252
-0.78183,9.5747e-17,-0.62349
-0.43388,5.3135e-17,-0.90097
-0.3068,-0.3068,0.90097
-0.55284,-0.55284,0.62349
-0.68938,-0.68938,0.22252
-0.68938,-0.68938,-0.22252
-0.55284,-0.55284,-0.62349
-0.3068,-0.3068,-0.90097
-7.9703e-17,-0.43388,0.90097
-1.4362e-16,-0.78183,0.62349
-1.7909e-16,-0.97493,0.22252
-1.7909e-16,-0.97493,-0.22252
-1.4362e-16,-0.78183,-0.62349
-7.9703e-17,-0.43388,-0.90097
0.3068,-0.3068,0.90097
0.55284,-0.55284,0.62349
0.68938,-0.68938,0.22252
0.68938,-0.68938,-0.22252
0.55284,-0.55284,-0.62349
0.3068,-0.3068,-0.90097
0,0,1
0,0,-1
0.43388,0,0.90097
0.78183,0,0.62349
0.97493,0,0.22252
0.97493,0,-0.22252
0.78183,0,-0.62349
0.43388,0,-0.90097
0.3068,0.3068,0.90097
0.55284,0.55284,0.62349
0.68938,0.68938,0.22252
0.68938,0.68938,-0.22252
0.55284,0.55284,-0.62349
0.3068,0.3068,-0.90097
2.6568e-17,0.43388,0.90097
4.7873e-17,0.78183,0.62349
5.9697e-17,0.97493,0.22252
5.9697e-17,0.97493,-0.22252
4.7873e-17,0.78183,-0.62349
2.6568e-17,0.43388,-0.90097
-0.3068,0.3068,0.90097
-0.55284,0.55284,0.62349
-0.68938,0.68938,0.22252
-0.68938,0.68938,-0.22252
-0.55284,0.55284,-0.62349
-0.3068,0.3068,-0.90097
-0.43388,5.3135e-17,0.90097
-0.78183,9.5747e-17,0.62349
-0.97493,1.1939e-16,0.22252
-0.97493,1.1939e-16,-0.22252
-0.78183,9.5747e-17,-0.62349
-0.43388,5.3135e-17,-0.90097
-0.3068,-0.3068,0.90097
-0.55284,-0.55284,0.62349
-0.68938,-0.68938,0.22252
-0.68938,-0.68938,-0.22252
-0.55284,-0.55284,-0.62349
-0.3068,-0.3068,-0.90097
-7.9703e-17,-0.43388,0.90097
-1.4362e-16,-0.78183,0.62349
-1.7909e-16,-0.97493,0.22252
-1.7909e-16,-0.97493,-0.22252
-1.4362e-16,-0.78183,-0.62349
-7.9703e-17,-0.43388,-0.90097
0.3068,-0.3068,0.90097
0.55284,-0.55284,0.62349
0.68938,-0.68938,0.22252
0.68938,-0.68938,-0.22252
0.55284,-0.55284,-0.62349
0.3068,-0.3068,-0.90097
0,0,1
0,0,-1
0.43388,0,0.90097
0.78183,0,0.62349
0.97493,0,0.22252
0.97493,0,-0.22252
0.78183,0,-0.62349
0.43388,0,-0.90097
0.3068,0.3068,0.90097
0.55284,0.55284,0.62349
0.68938,0.68938,0.22252
0.68938,0.68938,-0.22252
0.55284,0.55284,-0.62349
0.3068,0.3068,-0.90097
2.6568e-17,0.43388,0.90097
4.7873e-17,0.78183,0.62349
5.9697e-17,0.97493,0.22252
5.9697e-17,0.97493,-0.22252
4.7873e-17,0.78183,-0.62349
2.6568e-17,0.43388,-0.90097
-0.3068,0.3068,0.90097
-0.55284,0.55284,0.62349
-0.68938,0.68938,0.22252
-0.68938,0.68938,-0.22252
-0.55284,0.55284,-0.62349
-0.3068,0.3068,-0.90097
-0.43388,5.3135e-17,0.90097
-0.78183,9.5747e-17,0.62349
-0.97493,1.1939e-16,0.22252
